InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV102169,SKU-1002,Mechanical Keyboard,Electronics,4,2024-06-15 00:00,2499,C0006,United States
INV103747,SKU-1013,Sticky Notes,Stationery,3,2024-08-09 00:00,79,C0109,Germany
INV102572,SKU-1008,Coffee Mug,Home,6,2024-07-20 00:00,249,C0025,France
INV103655,SKU-1012,Phone Case,Accessories,10,2024-12-04 00:00,499,C0053,United Kingdom
INV100574,SKU-1010,Backpack,Accessories,4,2024-08-26 00:00,1999,C0023,India
INV102895,SKU-1009,Desk Lamp,Home,10,2024-02-02 00:00,1499,C0044,United Kingdom
INV103997,SKU-1004,Laptop Stand,Accessories,1,2024-09-20 00:00,1299,C0105,united kingdom
INV103922,SKU-1004,Laptop Stand,Accessories,7,2024-03-24 00:00,1299,C0106,France
INV103304,SKU-1012,Phone Case,Accessories,8,2024-10-06 00:00,499,C0002,France
INV103012,SKU-1011,,Electronics,2,2024-01-19 00:00,3499,C0012,United States
INV103160,SKU-1011,Wireless Earbuds,Electronics,9,2024-12-14 00:00,3499,C0086,France
INV100987,SKU-1007,Water Bottle 1L,Home,2,2024-10-15 00:00,N/A,C0007,India
INV101859,SKU-1015,Yoga Mat,Home,4,2024-12-23 00:00,899,C0104,India
INV102029,SKU-1014,POWER BANK 10000MAH,Electronics,2,2024-06-09 00:00,1799,C0100,India
INV101196,SKU-1014,Power Bank 10000mAh,Electronics,3,2024-12-22 00:00,1799,C0008,France
INV103047,SKU-1005,Notebook A5,Stationery,10,2024-11-29 00:00,149,,Germany
INV102965,SKU-1011,Wireless Earbuds,Electronics,4,2024-04-29 00:00,3499,C0041,India
INV101187,SKU-1005,Notebook A5,Stationery,6,2024-03-06 00:00,149,C0039,United Kingdom
INV103673,SKU-1005,Notebook A5,Stationery,9,2024-09-25 00:00,149,C0089,France
INV100431,SKU-1001,Wireless Mouse,Electronics,7,2024-11-09 00:00,799,C0037,United States
INV102285,SKU-1004,Laptop Stand,Accessories,9,2024-03-03 00:00,1299,C0110,France
INV100121,SKU-1013,Sticky Notes,Stationery,7,2024-02-20 00:00,79,C0077,United Kingdom
