product_key,StockCode,Description,Category,UnitPrice
1,SKU-1001,Wireless Mouse,Electronics,799.0
2,SKU-1002,Mechanical Keyboard,Electronics,2499.0
3,SKU-1003,Usb-C Cable,Electronics,299.0
4,SKU-1004,Laptop Stand,Accessories,1299.0
5,SKU-1005,Notebook A5,Stationery,149.0
6,SKU-1006,Gel Pen Pack,Stationery,99.0
7,SKU-1007,Water Bottle 1L,Home,399.0
8,SKU-1008,Coffee Mug,Home,249.0
9,SKU-1009,Desk Lamp,Home,1499.0
10,SKU-1010,Backpack,Accessories,1999.0
11,SKU-1011,Wireless Earbuds,Electronics,3499.0
12,SKU-1012,Phone Case,Accessories,499.0
13,SKU-1013,Sticky Notes,Stationery,79.0
14,SKU-1014,Power Bank 10000Mah,Electronics,1799.0
15,SKU-1015,Yoga Mat,Home,899.0
